pert_id	cmap_name
BRD-K42918627	GSK-2126458
BRD-K41260949	valproic-acid
BRD-K67783091	haloperidol
BRD-K71103788	duloxetine
BRD-K84698278	agomelatine
BRD-A31107743	brefeldin-a
BRD-K51143828	lurasidone
BRD-K73114621	bizine
BRD-K44227013	ponatinib
BRD-K06749501	GSK-1838705A
BRD-K31309378	lucitanib
BRD-K78455053	wnt-c59
BRD-K96146874	valproxam
BRD-K26521938	dinoprostone
BRD-K46918889	BG-1025
BRD-K38197229	bumetanide
BRD-A30693873	diperodon
BRD-K10671814	sulfaphenazole
BRD-K73391359	quinisocaine
BRD-K71696703	triflusal
BRD-K46317332	proadifen
BRD-K42870217	imipenem
BRD-K47244735	progesterone
BRD-K21733600	rofecoxib
CMAP-C110766	nacl
BRD-A25037258	RTI-55
BRD-K79134921	methyltyramine
BRD-A42759514	ornidazole
BRD-K56558538	ambroxol
BRD-A71033472	fendiline
BRD-K71289571	zafirlukast
BRD-K13238168	haloprogin
BRD-A08840375	CID-5458317
BRD-K52453128	BRD-K52453128
BRD-K24125544	tetrabenazine
BRD-K57545991	enalapril
BRD-K97530723	melatonin
BRD-K08287586	butylparaben
BRD-A30582499	tiletamine
BRD-K63874012	thioperamide
BRD-K82259334	methyl-dopate
BRD-K05236810	luteolin
BRD-K41431477	A-23187
BRD-K64024097	BRD-K64024097
BRD-K32307229	BRD-K32307229
BRD-K78930611	MW-STK33-2B
BRD-K35669573	TUL-XX023
BRD-K12683773	methyl-fasudil
BRD-A95513702	BRD-A95513702
BRD-K76894938	CHIR-99021
BRD-K97447442	Fluoro-SAHA
BRD-K41824522	BRD-K41824522
BRD-K93258693	GW-9662
BRD-K81647657	BRD-K81647657
BRD-K40255344	tyrphostin-A9
BRD-K64606589	apicidin
BRD-K33928422	BRD-K33928422
BRD-K30645599	BRD-K30645599
BRD-K55878534	BRD-K55878534
BRD-K03354784	BRD-K03354784
BRD-K67236950	BRD-K67236950
BRD-K92317137	BRD-K92317137
BRD-K08703257	BRD-K08703257
BRD-K15563106	phloretin
BRD-A02481876	importazole
BRD-K63682780	cadmium
BRD-A13084692	troglitazone
BRD-K41859756	NVP-AUY922
BRD-K46212057	voriconazole
BRD-K13566078	BMS-345541
BRD-K55395145	pemetrexed
BRD-K27737647	H-89
BRD-K27237442	BRD-K27237442
BRD-K43471985	OTX-015
BRD-K01363385	antalarmin
BRD-K37618799	MRS-1220
BRD-K14984983	ethyl-alcohol
BRD-A85587465	bemesetron
BRD-K69500068	BRD-K69500068
BRD-K72343629	BRD-K72343629
BRD-K21913257	BRD-K21913257
BRD-K96922741	BRD-K96922741
BRD-K96157570	BRD-K96157570
BRD-K69075782	BRD-K69075782
BRD-K41335306	BRD-K41335306
BRD-K44732214	BRD-K44732214
BRD-K01497355	BRD-K01497355
BRD-K28138218	BRD-K28138218
BRD-K85205404	BRD-K85205404
BRD-K69179556	BRD-K69179556
BRD-K25737009	CD-1530
BRD-K29653726	topiramate
BRD-K66296774	fluvastatin
BRD-K55696337	topotecan
BRD-K68867920	quetiapine
BRD-A16332958	modafinil
BRD-K13888115	LY-2365109
BRD-K31062320	BRD-K31062320
BRD-A47598013	citalopram
BRD-K28912512	nicotinamide
BRD-K68075732	esatenolol
BRD-A42270467	tenatoprazole
BRD-K85133207	HDAC1-selective
BRD-K18135438	BRD-K18135438
BRD-K88186167	GW-4064
BRD-K75089421	procainamide
BRD-K24559712	norethindrone
BRD-K68507560	dicycloverine
BRD-K37187815	cefuroxime
BRD-K99984802	flunixin
BRD-A18605525	hexetidine
BRD-K01621458	BRD-K01621458
BRD-K51556300	BRD-K51556300
BRD-K95739795	tetrabenazine
BRD-K14282469	LY-165163
BRD-A18795974	BRD-A18795974
BRD-K35307346	BRD-K35307346
BRD-K74765201	tomelukast
BRD-K83872150	BRD-K83872150
BRD-K77641333	naphazoline
BRD-K08619574	thioproperazine
BRD-A97739905	ketoprofen
BRD-K39339537	epirizole
BRD-K55468218	spiperone
BRD-K09085930	TUL_XX087
BRD-K46625679	MW-STK33-97
BRD-K52785744	BRD-K52785744
BRD-K03113036	BRD-K03113036
BRD-K05485208	gossypin
BRD-K01228321	cisplatin
BRD-K36055864	cycloheximide
BRD-K38477985	malonoben
BRD-K38340366	MW-STK33-1C
BRD-K84265381	propanoic-acid
BRD-K90259198	W-7
BRD-K88742110	PCI-34051
BRD-K23875128	BRD-K23875128
BRD-K54028654	trehalose
BRD-A58955223	sulforaphane
GALR3_M617	GALR3_M617
CI-994	CI-994
BRD-K29415052	BGT-226
BRD-K51313569	palbociclib
BRD-K29107232	BRD-K29107232
BRD-K29830875	TL-AA09
BRD-K01737880	BRD-K01737880
BRD-K45681478	JMW-MITF1
LACZ_ALARIN	LACZ_ALARIN
BRD-K90860366	BRD-K90860366
BRD-K73261812	BRD-K73261812
COMPE	compe
BRD-K54708045	nTZDpa
BRD-K15318909	PRIMA1
BRD-K84443303	clobetasol
BRD-K76747609	beclometasone
BRD-K04701033	VE-822
BRD-M86331534	pyrvinium-pamoate
943	943
LIVF001-024	pimosertib
949	949
BRD-K83963101	MLN-8054
BRD-A02006392	nitrendipine
BRD-A23712469	bacitracin
BRD-U63439324	L-27
BRD-U01216749	deltorphin-ii
BRD-U19864717	met-enkephalinrgl
BRD-K70301465	ibrutinib
BRD-A69826632	BRD-A69826632
BRD-K19048219	BRD-K19048219
BRD-K49071277	securinine
BRD-K21918725	BRD-K21918725
BRD-K28907958	CD-437
BRD-A09722536	cyclophosphamide
BRD-A01317026	BRD-A01317026
BRD-K23192422	lestaurtinib
BRD-K04986062	BRD-K04986062
BRD-A95504714	BRD-A95504714
BRD-K80058284	BRD-K80058284
BRD-K73276569	BRD-K73276569
BRD-K53561341	KIN-001-220
BRD-K81473043	tanespimycin
BRD-K08417745	SID-26681509
BRD-K38072832	cpd-b
BRD-K43389675	daunorubicin
BRD-K17306061	aprepitant
BRD-K33452357	BRD-K33452357
BRD-K74043769	BRD-K74043769
BRD-K64864583	BRD-K64864583
BRD-K40758391	BRD-K40758391
BRD-K63490935	homovanillic-acid
BRD-A96816341	BRD-A96816341
BRD-A28105619	BRD-A28105619
BRD-K24132293	piperlongumine
BRD-K44827188	vismodegib
BRD-K91583156	BRD-K91583156
BRD-K50691590	bortezomib
BRD-A18696154	idazoxan
BRD-K22514639	EGF-816
BRD-A42699921	teriflunomide
BRD-K33668505	BRD-K33668505
BRD-K61314889	endo-IWR-1
BRD-K97799481	theophylline
BRD-K86301799	dipyridamole
BRD-K43764301	dexketoprofen
BRD-K40853697	BRD-K40853697
BRD-K16485616	mocetinostat
BRD-K14880289	GW-501516
BRD-K68336408	BRD-K68336408
BRD-K23412959	BRD-K23412959
BRD-K91853144	BRD-K91853144
BRD-K86305586	BRD-K86305586
BRD-K88638940	BRD-K88638940
BRD-K02603382	1-methylisoquinoline
BRD-A48323445	salsoline
BRD-K27499107	carbacyclin
BRD-A33280134	etoposide
BRD-K59935627	ceftazidime
BRD-K50514981	BRD-K50514981
BRD-K68796717	BRD-K68796717
BRD-K73319509	PF-04217903
BRD-K00853241	BRD-K00853241
BRD-K78059568	ly-ester
BRD-K19826688	BRD-K19826688
BRD-K02637541	celecoxib
BRD-K43513122	BRD-K43513122
BRD-K60230970	MG-132
BRD-K78010432	furosemide
BRD-K63750851	BRD-K63750851
BRD-K97564742	mepyramine
BRD-A62071884	siguazodan
BRD-A39996500	radicicol
BRD-K01567962	pyrazolanthrone
BRD-K74995143	BRD-K74995143
BRD-K21532219	UMB-32
BRD-K40963620	BRD-K40963620
BRD-K41880142	BRD-K41880142
BRD-K30229575	BRD-K30229575
BRD-K41878610	BRD-K41878610
BRD-K06718821	BRD-K06718821
BRD-K57638192	BRD-K57638192
BRD-K74951051	BRD-K74951051
BRD-A85860691	chaetocin
BRD-K48692744	NU-1025
BRD-K01976263	emetine
BRD-K63675182	triflupromazine
BRD-K14471942	BRD-K14471942
BRD-K51350137	SA-90377
BRD-K65968856	BRD-K65968856
BRD-K40471863	BRD-K40471863
BRD-K50748030	BRD-K50748030
BRD-K99638701	BRD-K99638701
BRD-K19011062	BRD-K19011062
BRD-K36333904	BRD-K36333904
BRD-K41862560	BRD-K41862560
BRD-K08443710	BRD-K08443710
BRD-K30934336	BRD-K30934336
BRD-K63903580	BRD-K63903580
BRD-K88114920	BRD-K88114920
BRD-K57420195	BRD-K57420195
BRD-K88899793	BRD-K88899793
BRD-A54493496	ketamine
BRD-K16189898	CHIR-99021
BRD-K25206123	PF-06260933
BRD-K31519811	PF-02545920
BRD-K48438698	BRD-K48438698
BRD-A11990600	lorazepam
BRD-K69776681	volasertib
BRD-K15010214	emedastine
BRD-K46523383	pramocaine
BRD-K96740444	itopride
BRD-A33711280	metixene
BRD-K87714311	zebularine
BRD-A56798952	bafilomycin
BRD-K47407372	nifenazone
BRD-A44863528	proglumide
BRD-K54770957	etoricoxib
BRD-K91781484	BRD-K91781484
BRD-K97591839	BRD-K97591839
BRD-A35153197	BRD-A35153197
BRD-K69726342	atorvastatin
BRD-K69023402	thapsigargin
BRD-K88809146	tranylcypromine
BRD-K54729176	BRD-K54729176
BRD-K67966701	lisinopril
BRD-K62363391	dapsone
BRD-A41020680	minocycline
BRD-A20794617	vancomycin
BRD-K26510616	BRD-K26510616
BRD-K61894884	BRD-K61894884
BRD-K85985071	ellipticine
BRD-K62056344	BRD-K62056344
BRD-A47564106	tetrabenazine
BRD-K29458283	chlorambucil
BRD-K86336638	BRD-K86336638
BRD-K36280065	tofacitinib
BRD-K87737963	CYT-387
BRD-A51916548	BRD-A51916548
BRD-K24304282	BRD-K24304282
BRD-K33396764	BRD-K33396764
BRD-A50737080	CGK-733
BRD-K60391168	BRD-K60391168
BRD-K96396151	BRD-K96396151
BRD-K18814836	BRD-K18814836
BRD-A68009927	daunorubicin
BRD-K94920105	DR-2313
BRD-K73789395	ZM-336372
BRD-K43357457	ORG-25935
BRD-K17896185	FIT
BRD-K18972207	BRD-K18972207
BRD-K65526065	BRD-K65526065
BRD-K38024133	BRD-K38024133
BRD-K70983703	BRD-K70983703
BRD-K89994146	BRD-K89994146
BRD-K59341874	BRD-K59341874
BRD-K31380618	BRD-K31380618
BRD-K76856691	BRD-K76856691
BRD-K79532217	BRD-K79532217
BRD-K68525401	silydianin
BRD-K80216442	isosilychristin
BRD-K73881242	arbidol
BRD-K18895904	olanzapine
BRD-A90543464	BRD-A90543464
BRD-A81541225	oligomycin-a
BRD-K39965020	doconexent
BRD-A34309505	zopiclone
BRD-K49328571	dasatinib
BRD-K53581288	baricitinib
BRD-K14560436	TG-02
BRD-K94455792	ICG-001
BRD-K17476933	ITSA-1
BRD-A00993607	alprenolol
BRD-K67563174	acemetacin
BRD-A09472452	flecainide
BRD-K47886988	nalidixic-acid
BRD-A26334849	propafenone
BRD-K58466974	TUL_XXI035
BRD-K12807006	kaempferol
BRD-K55914420	BG-1002
BRD-A66794241	L-744832
BRD-K83836748	BRD-K83836748
BRD-A72322024	APEC
BRD-K37542305	trans-bis-q
BRD-K33127281	adapalene
BRD-K45528773	M-344
BRD-A75850590	lomefloxacin
BRD-A78322124	dobutamine
BRD-K38436528	imipramine
BRD-A91008255	bepridil
BRD-K32821942	azathioprine
BRD-K40758068	efavirenz
BRD-K71451869	halcinonide
BRD-K19462402	buflomedil
BRD-K07762753	aminopurvalanol-a
BRD-K43149758	myricetin
BRD-A13020530	BRD-A13020530
BRD-K16410418	BRD-K16410418
BRD-K89014967	AS-703026
BRD-A50028488	TCS-2002
BRD-K69577666	SGC-0946
BRD-K48300629	zonisamide
BRD-K12102668	nialamide
BRD-K60369935	ribavirin
BRD-K81164606	BRD-K81164606
BRD-K82987299	BRD-K82987299
BRD-K32602441	BRD-K32602441
BRD-K49049886	CGS-15943
